Fiscal Year,Assets - Total,Common Equity,Net Income,Adjusted Price Close - Fiscal,Address,ZIP Code,City,State
1986,170.739,139.332,39.254,0.068926,One Microsoft Way,98052,  Redmond ,wa
1987,287.754,239.105,71.878,0.228631,One Microsoft Way,98052,  Redmond ,wa
1988,493.019,375.498,123.908,0.300359,One Microsoft Way,98052,  Redmond ,wa
1989,720.598,561.78,170.538,0.237597,One Microsoft Way,98052,  Redmond ,wa
1990,1105.349,918.563,279.186,0.68141,One Microsoft Way,98052,  Redmond ,wa
1991,1644.184,1350.831,462.743,0.916206,One Microsoft Way,98052,  Redmond ,wa
1992,2639.903,2192.958,708.06,1.412133,One Microsoft Way,98052,  Redmond ,wa
1993,3805,3242,953,1.775253,One Microsoft Way,98052,  Redmond ,wa
1994,5363,4450,1146,2.082897,One Microsoft Way,98052,  Redmond ,wa
1995,7210,5333,1453,3.646332,One Microsoft Way,98052,  Redmond ,wa
1996,10093,6908,2195,4.846645,One Microsoft Way,98052,  Redmond ,wa
1997,14387,9797,3454,10.197618,One Microsoft Way,98052,  Redmond ,wa
1998,22357,15647,4490,17.490292,One Microsoft Way,98052,  Redmond ,wa
1999,37156,27458,7785,29.110128,One Microsoft Way,98052,  Redmond ,wa
2000,52150,41368,9421,25.821878,One Microsoft Way,98052,  Redmond ,wa
2001,59257,47289,7346,23.562454,One Microsoft Way,98052,  Redmond ,wa
2002,67646,52180,7829,17.655706,One Microsoft Way,98052,  Redmond ,wa
2003,79571,61020,9993,16.605047,One Microsoft Way,98052,  Redmond ,wa
2004,92389,74825,8168,18.599861,One Microsoft Way,98052,  Redmond ,wa
2005,70815,48115,12254,18.19665,One Microsoft Way,98052,  Redmond ,wa
2006,69597,40104,12599,17.294693,One Microsoft Way,98052,  Redmond ,wa
2007,63171,31097,14065,22.178057,One Microsoft Way,98052,  Redmond ,wa
2008,72793,36286,17681,21.002312,One Microsoft Way,98052,  Redmond ,wa
2009,77888,39558,14569,18.585894,One Microsoft Way,98052,  Redmond ,wa
2010,86113,46175,18760,18.340149,One Microsoft Way,98052,  Redmond ,wa
2011,108704,57083,23150,21.223999,One Microsoft Way,98052,  Redmond ,wa
2012,121271,66363,16978,25.651567,One Microsoft Way,98052,  Redmond ,wa
2013,142431,78944,21863,29.84655,One Microsoft Way,98052,  Redmond ,wa
2014,172384,89784,22074,37.096779,One Microsoft Way,98052,  Redmond ,wa
2015,176223,80083,12193,40.314255,One Microsoft Way,98052,  Redmond ,wa
2016,193694,71997,16798,48.023003,One Microsoft Way,98052,  Redmond ,wa
2017,241086,72394,21204,66.308907,One Microsoft Way,98052,  Redmond ,wa
2018,258848,82718,16571,96.712257,One Microsoft Way,98052,  Redmond ,wa
2019,286556,102330,39240,133.515411,One Microsoft Way,98052,  Redmond ,wa
